gene_id	refseq	fam_age	len_age	rate
34	937.4571429	NM_001286044/NM_001286043/NM_001286042/NM_001127328/NM_000016	NA	NA
37	937.4571429	XM_006721516/NM_001270448/NM_001270447/NM_001033859/NM_000018	NA	NA
38	1387.535714	XM_006718835/XM_006718834/NM_000019	NA	NA
90	788.2695652	XM_006712825/XM_005246940/XM_005246939/NM_001111067/NM_001105	NA	NA
6442	442.35	XM_006722014/XM_005257574/NM_001135697/NM_000023	410.325805678404	0.00374859199728722
158	1229.645455	NM_001123378/NM_000026	NA	NA
175	1387.535714	XM_006714123/NR_033655/NM_001171988/NM_000027	NA	NA
183	442.35	NM_000029	45.2596264942953	0.00151113007799254
210	1229.645455	XM_005251799/NM_000031	NA	NA
212	1229.645455	XM_005261995/NM_001037968/NM_001037967/NM_000032	NA	NA
270	442.35	NM_000036/NM_001172626	NA	NA
350	314.52	NM_000042	NA	NA
355	442.35	XM_006717819/NR_028036/NR_028035/NR_028034/NR_028033/NM_152872/NM_152871/NM_000043	NA	NA
367	314.52	NM_001011645/NM_000044	NA	NA
383	1229.645455	NM_001244438/NM_000045	NA	NA
435	1229.645455	NM_001024946/NM_001024944/NM_000048/NM_001024943	NA	NA
443	442.35	XM_006721527/XM_005256649/NM_001128085/NM_000049	NA	NA
538	1387.535714	NR_104109/NM_001282224/NM_000052	NA	NA
594	1387.535714	XM_006715542/XM_005248756/NM_000056/NM_183050	NA	NA
675	442.35	NM_000059	NA	NA
710	442.35	NM_001032295/NM_000062	NA	NA
717	442.35	NM_001282459/NM_001282458/NM_001282457/NM_001178063/NM_000063/NM_001145903	NA	NA
729	442.35	XM_006714497/XM_006714496/XM_005248357/XM_005248356/NM_000065/NM_001115131	NA	NA
732	442.35	XM_006710873/XM_005271166/NM_001278544/NM_001278543/NM_000066	NA	NA
825	442.35	NM_000070/NM_173090/NM_173089/NM_173088/NM_173087/NM_024344	331.427144288001	0.000935542127274782
917	92.3975	XM_006718941/XM_005271725/XM_005271724/NM_000073	31.8936864861054	0.00533136448496983
959	314.52	NM_000074	71.0238769706462	0.00106694922421468
1028	442.35	XM_006725126/XM_006725125/XM_005252732/XM_005252731/NM_001122631/NM_001122630/NM_000076	NA	NA
1134	442.35	NM_000079/NM_001039523	NA	NA
1145	92.3975	NM_000080	92.3975	0.0102575892204876
1130	442.35	XM_006711731/XM_005273030/XM_005273029/XM_005273028/XM_005273027/NR_102436/NM_000081	NA	NA
1161	1229.645455	NM_001290285/NM_001007234/NM_001007233/NM_000082	NA	NA
1180	442.35	NR_046453/NM_000083	NA	NA
1188	442.35	XM_006710070/XM_006710069/XM_005245733/NM_001165945/NM_000085	NA	NA
1278	442.35	NM_000089	NA	NA
1294	442.35	NM_000094	53.9046377267092	0.000849041369955917
1311	788.2695652	NM_000095	NA	NA
1356	442.35	XM_006713502/XR_427361/XM_006713501/XM_006713500/XM_006713499/NR_046371/NM_000096	122.90794953302	0.000818797309822539
1371	1387.535714	XM_005247125/NM_000097	NA	NA
1376	1229.645455	XM_005270484/NM_000098	NA	NA
1471	314.52	NM_001288614/NM_000099	263.414371022934	0.00397178319343762
1476	442.35	NM_000100	NA	NA
1535	442.35	NM_000101	NA	NA
1643	1387.535714	XM_005252808/XR_242780/XM_006718161/NM_000107	NA	NA
1738	1387.535714	NM_001289752/NM_001289751/NM_001289750/NM_000108	NA	NA
1806	1387.535714	XM_006710397/XM_005270562/NM_001160301/NM_000110	NA	NA
1908	442.35	XM_005260314/XM_006723734/XM_005260313/XM_005260312/NM_207034/NM_207033/NM_207032/NM_000114	NA	NA
1910	442.35	XM_005266275/NM_001201397/NM_001122659/NM_003991/NM_000115	NA	NA
2010	92.3975	NM_000117	92.3975	0.00352043605075895
2022	314.52	NM_001114753/NM_000118/NM_001278138	NA	NA
2038	314.52	XM_005254225/NM_001114134/NM_000119	NA	NA
2052	1229.645455	NM_001291163/NM_001136018/NM_000120	NA	NA
2057	442.35	NR_033663/NM_000121	407.210424417798	0.00630295700237369
2071	1387.535714	XM_005263618/NM_000122	NA	NA
2108	1387.535714	NM_001127716/NM_000126	NA	NA
2153	442.35	NM_000130	NA	NA
2158	788.2695652	XM_006724742/XM_005262397/NM_000133	NA	NA
2169	442.35	NM_000134	NA	NA
2175	442.35	XM_005256294/XM_006721168/XM_006721167/NM_001286167/NM_000135/NM_001018112	NA	NA
2176	442.35	XM_005251802/XM_006717004/XM_006717003/XM_006717002/XM_006717001/NM_001243744/NM_001243743/NM_000136	NA	NA
2184	1387.535714	NM_000137	NA	NA
2206	92.3975	XM_005273846/NM_001256916/NM_000139	21.9329126917842	0.00715548959657999
2235	1229.645455	NM_000140/NM_001012515	NA	NA
2271	1387.535714	NM_000143	NA	NA
2492	442.35	NM_181446/NM_000145	NA	NA
2519	937.4571429	NM_032020	NA	NA
2523	92.3975	XM_006723127/NM_000148	67.7607776503648	0.0148485313996591
2581	442.35	XR_245677/NM_001201402/NM_001201401/NM_000153	NA	NA
2584	1387.535714	NM_000154	NA	NA
2592	1229.645455	NM_001258332/NM_000155	NA	NA
2632	1387.535714	NM_000158	NA	NA
